Artist ID,Artist name,Region,Track ID,Track name,Release date,Genre,Popularity,Explicit,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Valence
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,1RIsAtnYOlo8zGMycNFioq,Dazed and Confused - 2007 Remaster,2007-01,classic rock,52.0,False,388453,0.0919,0.262,0.539,0.00803,D,0.0889,-10.264,Major,0.0451,87.197,0.436
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,5UdShl12E6eHEgS8lQ1bPr,All My Love - Remastered,2007-01,classic rock,54.0,False,355893,0.123,0.552,0.791,1.42e-05,G,0.162,-8.356,Major,0.0303,91.2,0.698
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Europe,0FfZBWDv7p63yj6oh2I2PS,Shattered - Remastered,1978-06,classic rock,52.0,False,226800,0.454,0.734,0.952,5.48e-05,E,0.119,-2.58,Major,0.127,140.368,0.74
12Chz98pHFMPJEknJQMWvI,Muse,Europe,6xq3Bd7MvZVa7pda9tC4MW,The Handler,2015-06,alternative rock,59.0,False,273760,0.000143,0.47,0.925,0.0417,D,0.449,-4.181,Major,0.047,130.009,0.279
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Europe,3Slqc9I5VrWEBdoqqkodi2,Get Off Of My Cloud - Mono,1966-01,classic rock,55.0,False,176213,0.0209,0.594,0.902,0.394,E,0.048,-6.67,Major,0.0537,126.315,0.907
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Europe,06FcMPcosZg13x2QODDDK6,Let It Bleed,1969-12,classic rock,54.0,False,327880,0.433,0.558,0.684,0.00293,C,0.226,-8.246,Major,0.0288,116.232,0.867
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,0kfjZ0JCXU9sSg99gbQpbJ,Good Times Bad Times - Remaster,1969-01,classic rock,51.0,False,166107,0.0828,0.445,0.703,2.73e-06,A,0.0782,-9.783,Major,0.0859,93.199,0.633
12Chz98pHFMPJEknJQMWvI,Muse,Europe,2IFqUmfW8oQoKn6ToxKsMs,Survival,2012-09,alternative rock,59.0,False,257467,0.000692,0.557,0.826,0.188,A#,0.0914,-4.545,Minor,0.0394,164.01,0.632
51Blml2LZPmy7TTiAg47vQ,U2,Europe,2dhJM2skHC9D41gHj34Kgw,You’re The Best Thing About Me,2017-12,rock,62.0,False,225400,0.00235,0.656,0.772,1.07e-06,D,0.249,-6.688,Major,0.0376,117.038,0.822
12Chz98pHFMPJEknJQMWvI,Muse,Europe,6JnFVmPyJvjnfBag0hhIFa,Assassin,2006-06,alternative rock,57.0,False,211133,0.00133,0.351,0.961,0.00335,G,0.108,-3.942,Minor,0.145,124.715,0.416
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Europe,44xykY61s1aKsgf40A5cyI,Mother's Little Helper,1966-04,classic rock,55.0,False,164893,0.0157,0.324,0.532,7.67e-06,E,0.195,-11.547,Minor,0.0447,203.536,0.702
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Europe,6l9gVPHFaUfigHEiWqSh45,She's So Cold - Remastered,1980-06,classic rock,54.0,False,253507,0.421,0.754,0.831,0.00731,C,0.0754,-5.302,Major,0.0557,139.549,0.836
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,1oCOp1kVAgNlXX9Tx9mvzq,Ramble On - Remaster,1969-10,classic rock,50.0,False,274010,0.186,0.456,0.549,0.00227,E,0.0877,-13.111,Major,0.0343,98.583,0.834
51Blml2LZPmy7TTiAg47vQ,U2,Europe,4SzIZFruLhiAzhuMtAhIRt,Who's Gonna Ride Your Wild Horses,1991-11,rock,54.0,False,316427,0.0302,0.432,0.679,0.000435,G,0.053,-10.594,Major,0.0366,132.678,0.414
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,3g3LzkOMh3lx2FmCgb40bj,What Is and What Should Never Be - 2014 Remaster,1969-10,classic rock,50.0,False,286231,0.311,0.353,0.593,0.0,A,0.0685,-9.675,Major,0.0457,82.56,0.488
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,3Ch9zofxkeb5Dh1poeEhF8,In the Light,1975-02,classic rock,51.0,False,526587,0.0699,0.309,0.337,0.000611,D,0.0421,-12.801,Major,0.0385,127.212,0.0949
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Europe,3buvRn4CDX86EO9LHTITGn,Heartbreaker - Remastered,1969-10,classic rock,50.0,False,254068,0.0797,0.381,0.734,0.0469,D,0.173,-8.917,Major,0.0933,96.614,0.565
